,unique_id,ds,y
0,D1,1,1017.1
1,D1,2,1019.3
2,D1,3,1017.0
3,D1,4,1019.2
4,D1,5,1018.7
5,D1,6,1015.6
6,D1,7,1018.5
7,D1,8,1018.3
8,D1,9,1018.4
9,D1,10,1021.5
10,D1,11,1023.0
11,D1,12,1023.3
12,D1,13,1020.5
13,D1,14,1021.4
14,D1,15,1018.1
15,D1,16,1022.6
16,D1,17,1022.6
17,D1,18,1021.0
18,D1,19,1020.1
19,D1,20,1017.0
20,D1,21,1019.3
21,D1,22,1017.3
22,D1,23,1016.1
23,D1,24,1017.8
24,D1,25,1019.3
25,D1,26,1025.1
26,D1,27,1024.8
27,D1,28,1025.1
28,D1,29,1025.1
29,D1,30,1022.6
30,D1,31,1021.2
31,D1,32,1017.2
32,D1,33,1041.5
33,D1,34,1041.7
34,D1,35,1038.9
35,D1,36,1041.0
36,D1,37,1042.9
37,D1,38,1042.1
38,D1,39,1043.9
39,D1,40,1039.0
40,D1,41,1037.3
41,D1,42,1033.7
42,D1,43,1032.5
43,D1,44,1036.3
44,D1,45,1037.5
45,D1,46,1040.0
46,D1,47,1038.4
47,D1,48,1035.3
48,D1,49,1032.0
49,D1,50,1028.1
50,D1,51,1032.2
51,D1,52,1030.2
52,D1,53,1031.2
53,D1,54,1032.8
54,D1,55,1030.3
55,D1,56,1030.2
56,D1,57,1028.1
57,D1,58,1022.1
58,D1,59,1024.4
59,D1,60,1023.4
60,D1,61,1026.3
61,D1,62,1024.0
62,D1,63,1026.1
63,D1,64,1031.0
64,D1,65,1037.6
65,D1,66,1036.6
66,D1,67,1037.4
67,D1,68,1035.4
68,D1,69,1038.9
69,D1,70,1038.7
70,D1,71,1036.5
71,D1,72,1036.4
72,D1,73,1036.8
73,D1,74,1035.3
74,D1,75,1032.6
75,D1,76,1029.3
76,D1,77,1031.3
77,D1,78,1027.4
78,D1,79,1028.6
79,D1,80,1025.8
80,D1,81,1026.0
81,D1,82,1022.3
82,D1,83,1020.1
83,D1,84,1017.7
84,D1,85,1018.0
85,D1,86,1023.2
86,D1,87,1024.2
87,D1,88,1020.5
88,D1,89,1022.2
89,D1,90,1025.3
90,D1,91,1023.3
91,D1,92,1035.3
92,D1,93,1036.7
93,D1,94,1035.1
94,D1,95,1032.5
95,D1,96,1028.7
96,D1,97,1028.1
97,D1,98,1025.6
98,D1,99,1027.9
99,D1,100,1025.0
100,D1,101,1025.7
101,D1,102,1025.0
102,D1,103,1023.7
103,D1,104,1025.5
104,D1,105,1025.8
105,D1,106,1030.5
106,D1,107,1035.1
107,D1,108,1034.2
108,D1,109,1032.2
109,D1,110,1033.6
110,D1,111,1045.6
111,D1,112,1040.3
112,D1,113,1035.9
113,D1,114,1035.4
114,D1,115,1031.0
115,D1,116,1035.1
116,D1,117,1022.1
117,D1,118,1020.4
118,D1,119,1019.6
119,D1,120,1023.2
120,D1,121,1016.5
121,D1,122,1011.6
122,D1,123,1013.9
123,D1,124,1011.3
124,D1,125,1020.9
125,D1,126,1023.4
126,D1,127,1019.6
127,D1,128,1016.7
128,D1,129,1012.0
129,D1,130,1012.7
130,D1,131,1010.7
131,D1,132,1002.5
132,D1,133,991.5
133,D1,134,992.9
134,D1,135,997.1
135,D1,136,1001.6
136,D1,137,997.2
137,D1,138,1001.9
138,D1,139,1011.7
139,D1,140,1005.7
140,D1,141,1018.7
141,D1,142,1016.5
142,D1,143,1018.3
143,D1,144,1014.8
144,D1,145,1011.0
145,D1,146,1018.7
146,D1,147,1009.9
147,D1,148,1012.7
148,D1,149,1015.0
149,D1,150,1010.4
150,D1,151,1099.0
151,D1,152,1095.2
152,D1,153,1098.1
153,D1,154,1094.8
154,D1,155,1097.9
155,D1,156,1085.2
156,D1,157,1086.0
157,D1,158,1088.2
158,D1,159,1088.6
159,D1,160,1085.8
160,D1,161,1080.4
161,D1,162,1077.2
162,D1,163,1075.7
163,D1,164,1080.3
164,D1,165,1081.6
165,D1,166,1080.3
166,D1,167,1094.8
167,D1,168,1097.2
168,D1,169,1096.2
169,D1,170,1095.4
170,D1,171,1093.0
171,D1,172,1084.3
172,D1,173,1079.6
173,D1,174,1080.8
174,D1,175,1083.2
175,D1,176,1086.6
176,D1,177,1078.6
177,D1,178,1078.3
178,D1,179,1077.1
179,D1,180,1080.3
180,D1,181,1082.6
181,D1,182,1079.7
182,D1,183,1083.5
183,D1,184,1080.0
184,D1,185,1079.4
185,D1,186,1079.4
186,D1,187,1082.1
187,D1,188,1080.8
188,D1,189,1077.5
189,D1,190,1079.7
190,D1,191,1078.8
191,D1,192,1083.1
192,D1,193,1079.7
193,D1,194,1078.1
194,D1,195,1077.3
195,D1,196,1075.5
196,D1,197,1080.2
197,D1,198,1090.3
198,D1,199,1089.6
199,D1,200,1087.8
200,D1,201,1081.1
201,D1,202,1071.7
202,D1,203,1071.4
203,D1,204,1069.8
204,D1,205,1070.5
205,D1,206,1066.4
206,D1,207,1070.9
207,D1,208,1065.5
208,D1,209,1068.6
209,D1,210,1067.1
210,D1,211,1068.3
211,D1,212,1074.9
212,D1,213,1069.2
213,D1,214,1068.6
214,D1,215,1076.2
215,D1,216,1080.7
216,D1,217,1077.7
217,D1,218,1077.6
218,D1,219,1083.7
219,D1,220,1084.4
220,D1,221,1084.4
221,D1,222,1091.4
222,D1,223,1090.4
223,D1,224,1096.5
224,D1,225,1095.0
225,D1,226,1096.9
226,D1,227,1099.8
227,D1,228,1096.1
228,D1,229,1094.3
229,D1,230,1098.9
230,D1,231,1099.0
231,D1,232,1101.5
232,D1,233,1111.4
233,D1,234,1114.1
234,D1,235,1112.8
235,D1,236,1116.4
236,D1,237,1117.3
237,D1,238,1115.0
238,D1,239,1113.1
239,D1,240,1114.6
240,D1,241,1118.2
241,D1,242,1117.8
242,D1,243,1116.3
243,D1,244,1116.0
244,D1,245,1115.9
245,D1,246,1114.9
246,D1,247,1117.5
247,D1,248,1116.3
248,D1,249,1115.7
249,D1,250,1119.4
250,D1,251,1118.6
251,D1,252,1119.8
252,D1,253,1120.1
253,D1,254,1111.6
254,D1,255,1106.9
255,D1,256,1107.5
256,D1,257,1125.3
257,D1,258,1126.1
258,D1,259,1124.2
259,D1,260,1122.1
260,D1,261,1126.7
261,D1,262,1118.5
262,D1,263,1118.5
263,D1,264,1119.9
264,D1,265,1116.0
265,D1,266,1117.5
266,D1,267,1115.3
267,D1,268,1114.5
268,D1,269,1117.7
269,D1,270,1109.1
270,D1,271,1107.7
271,D1,272,1106.6
272,D1,273,1104.6
273,D1,274,1109.9
274,D1,275,1108.7
275,D1,276,1108.7
276,D1,277,1106.4
277,D1,278,1113.9
278,D1,279,1112.2
279,D1,280,1112.3
280,D1,281,1117.7
281,D1,282,1118.5
282,D1,283,1119.5
283,D1,284,1117.4
284,D1,285,1117.0
285,D1,286,1112.5
286,D1,287,1136.2
287,D1,288,1130.8
288,D1,289,1127.2
289,D1,290,1118.5
290,D1,291,1115.2
291,D1,292,1116.5
292,D1,293,1119.2
293,D1,294,1116.8
294,D1,295,1115.8
295,D1,296,1114.7
296,D1,297,1117.4
297,D1,298,1116.6
298,D1,299,1115.4
299,D1,300,1109.5
300,D1,301,1088.6
301,D1,302,1090.0
302,D1,303,1078.4
303,D1,304,1091.6
304,D1,305,1096.3
305,D1,306,1200.3
306,D1,307,1199.6
307,D1,308,1192.8
308,D1,309,1192.7
309,D1,310,1203.9
310,D1,311,1199.6
311,D1,312,1209.2
312,D1,313,1206.0
313,D1,314,1206.7
314,D1,315,1210.7
